"","uniqueID","blur","sigma","image_id"
"1","cart",1,5.192,100
"2","cart",2,6.56947862556008,100
"3","cart",3,8.31241321488651,100
"4","cart",4,10.5177621228852,100
"5","cart",5,13.3082075221533,100
"6","cart",6,16.8389801350739,100
"7","cart",7,21.3064946212633,100
"8","cart",8,26.9592760015408,100
"9","napkin_ring",1,4.226,101
"10","napkin_ring",2,5.11181328108072,101
"11","napkin_ring",3,6.18330218188198,101
"12","napkin_ring",4,7.47938623149071,101
"13","napkin_ring",5,9.04714289457324,101
"14","napkin_ring",6,10.9435175589954,101
"15","napkin_ring",7,13.2373919545227,101
"16","napkin_ring",8,16.0120861334595,101
"17","pedometer",1,5.192,102
"18","pedometer",2,6.11242227961557,102
"19","pedometer",3,7.19601427664499,102
"20","pedometer",4,8.47170223208716,102
"21","pedometer",5,9.97354034469925,102
"22","pedometer",6,11.7416198400586,102
"23","pedometer",7,13.8231391966777,102
"24","pedometer",8,16.2736640986133,102
"25","binoculars",1,4.226,103
"26","binoculars",2,5.11181328108072,103
"27","binoculars",3,6.18330218188198,103
"28","binoculars",4,7.47938623149071,103
"29","binoculars",5,9.04714289457324,103
"30","binoculars",6,10.9435175589954,103
"31","binoculars",7,13.2373919545227,103
"32","binoculars",8,16.0120861334595,103
"33","turtleneck",1,7.838,104
"34","turtleneck",2,8.81797768151158,104
"35","turtleneck",3,9.92048104001484,104
"36","turtleneck",4,11.160829344311,104
"37","turtleneck",5,12.556257216802,104
"38","turtleneck",6,14.1261541083285,104
"39","turtleneck",7,15.8923337143191,104
"40","turtleneck",8,17.8793370757847,104
"41","tennis_ball",1,7.838,105
"42","tennis_ball",2,10.2433237246159,105
"43","tennis_ball",3,13.3867926674252,105
"44","tennis_ball",4,17.4949286714404,105
"45","tennis_ball",5,22.8637685532825,105
"46","tennis_ball",6,29.8801968430677,105
"47","tennis_ball",7,39.0498251108431,105
"48","tennis_ball",8,51.033426894616,105
"49","tupperware",1,5.192,106
"50","tupperware",2,6.19425995681484,106
"51","tupperware",3,7.38999545697222,106
"52","tupperware",4,8.81655488061761,106
"53","tupperware",5,10.5184963124172,106
"54","tupperware",6,12.5489792977485,106
"55","tupperware",7,14.9714252625081,106
"56","tupperware",8,17.861498459168,106
"57","coffee_filter",1,4,107
"58","coffee_filter",2,4.8760546168179,107
"59","coffee_filter",3,5.94397715654779,107
"60","coffee_filter",4,7.24578931411125,107
"61","coffee_filter",5,8.8327161093905,107
"62","coffee_filter",6,10.7672015410588,107
"63","coffee_filter",7,13.1253656961222,107
"64","coffee_filter",8,16,107
"65","coaster",1,4,108
"66","coaster",2,4.8760546168179,108
"67","coaster",3,5.94397715654779,108
"68","coaster",4,7.24578931411125,108
"69","coaster",5,8.8327161093905,108
"70","coaster",6,10.7672015410588,108
"71","coaster",7,13.1253656961222,108
"72","coaster",8,16,108
"73","napkin",1,4,109
"74","napkin",2,4.8760546168179,109
"75","napkin",3,5.94397715654779,109
"76","napkin",4,7.24578931411125,109
"77","napkin",5,8.8327161093905,109
"78","napkin",6,10.7672015410588,109
"79","napkin",7,13.1253656961222,109
"80","napkin",8,16,109
"81","sock",1,14.536,110
"82","sock",2,15.923577716158,110
"83","sock",3,17.4436108477246,110
"84","sock",4,19.1087433258227,110
"85","sock",5,20.9328260461512,110
"86","sock",6,22.9310320834277,110
"87","sock",7,25.1199829039746,110
"88","sock",8,27.5178866263071,110
"89","wax",1,4,111
"90","wax",2,4.8760546168179,111
"91","wax",3,5.94397715654779,111
"92","wax",4,7.24578931411125,111
"93","wax",5,8.8327161093905,111
"94","wax",6,10.7672015410588,111
"95","wax",7,13.1253656961222,111
"96","wax",8,16,111
"97","yarn",1,4,112
"98","yarn",2,4.8760546168179,112
"99","yarn",3,5.94397715654779,112
"100","yarn",4,7.24578931411125,112
"101","yarn",5,8.8327161093905,112
"102","yarn",6,10.7672015410588,112
"103","yarn",7,13.1253656961222,112
"104","yarn",8,16,112
"105","pulpit",1,4,113
"106","pulpit",2,4.8760546168179,113
"107","pulpit",3,5.94397715654779,113
"108","pulpit",4,7.24578931411125,113
"109","pulpit",5,8.8327161093905,113
"110","pulpit",6,10.7672015410588,113
"111","pulpit",7,13.1253656961222,113
"112","pulpit",8,16,113
"113","flagpole",1,4,114
"114","flagpole",2,6.13371039147435,114
"115","flagpole",3,9.4056007916201,114
"116","flagpole",4,14.4228078284049,114
"117","flagpole",5,22.1163315628312,114
"118","flagpole",6,33.9137931820574,114
"119","flagpole",7,52.0043464137744,114
"120","flagpole",8,79.7449,114
"121","onion",1,4.226,115
"122","onion",2,5.34722645469336,115
"123","onion",3,6.76593250302236,115
"124","onion",4,8.56104431396847,115
"125","onion",5,10.8324284513617,115
"126","onion",6,13.7064477008268,115
"127","onion",7,17.3429909478779,115
"128","onion",8,21.9443681968765,115
"129","bookshelf",1,4,116
"130","bookshelf",2,5.14137087461895,116
"131","bookshelf",3,6.608423617595,116
"132","bookshelf",4,8.49408917866173,116
"133","bookshelf",5,10.9178156773969,116
"134","bookshelf",6,14.0331348845566,116
"135","bookshelf",7,18.0373877437646,116
"136","bookshelf",8,23.184225,116
"137","cane",1,6.379,118
"138","cane",2,7.33083481199326,118
"139","cane",3,8.42469651053963,118
"140","cane",4,9.6817774666785,118
"141","cane",5,11.1264322456026,118
"142","cane",6,12.7866494496547,118
"143","cane",7,14.6945939668104,118
"144","cane",8,16.8872301301144,118
"145","yolk",1,5.192,119
"146","yolk",2,6.11242227961557,119
"147","yolk",3,7.19601427664499,119
"148","yolk",4,8.47170223208716,119
"149","yolk",5,9.97354034469925,119
"150","yolk",6,11.7416198400586,119
"151","yolk",7,13.8231391966777,119
"152","yolk",8,16.2736640986133,119
"153","granite",1,4,120
"154","granite",2,4.8760546168179,120
"155","granite",3,5.94397715654779,120
"156","granite",4,7.24578931411125,120
"157","granite",5,8.8327161093905,120
"158","granite",6,10.7672015410588,120
"159","granite",7,13.1253656961222,120
"160","granite",8,16,120
"161","dress",1,7.411,121
"162","dress",2,9.45741672489929,121
"163","dress",3,12.0689152757259,121
"164","dress",4,15.4015330157931,121
"165","dress",5,19.654394269687,121
"166","dress",6,25.0816080264341,121
