,file,uniqueID,blur,entropy
0,data/input/things/airboat.jpg,airboat,1.0,2.301257
0,data/input/things/airboat.jpg,airboat,2.0,3.3677025
0,data/input/things/airboat.jpg,airboat,3.0,3.9622316
0,data/input/things/airboat.jpg,airboat,4.0,4.327588
0,data/input/things/airboat.jpg,airboat,5.0,4.5215263
0,data/input/things/airboat.jpg,airboat,6.0,4.594434
0,data/input/things/airboat.jpg,airboat,7.0,4.586092
0,data/input/things/airboat.jpg,airboat,8.0,4.5971274
0,data/input/things/apple_tree.jpg,apple_tree,1.0,0.09046404
0,data/input/things/apple_tree.jpg,apple_tree,2.0,0.11665572
0,data/input/things/apple_tree.jpg,apple_tree,3.0,0.32741666
0,data/input/things/apple_tree.jpg,apple_tree,4.0,1.3958166
0,data/input/things/apple_tree.jpg,apple_tree,5.0,3.9945204
0,data/input/things/apple_tree.jpg,apple_tree,6.0,4.7135057
0,data/input/things/apple_tree.jpg,apple_tree,7.0,4.744683
0,data/input/things/apple_tree.jpg,apple_tree,8.0,4.6756682
0,data/input/things/aquarium.jpg,aquarium,1.0,3.4074528
0,data/input/things/aquarium.jpg,aquarium,2.0,3.533153
0,data/input/things/aquarium.jpg,aquarium,3.0,3.4188528
0,data/input/things/aquarium.jpg,aquarium,4.0,4.100234
0,data/input/things/aquarium.jpg,aquarium,5.0,4.5929146
0,data/input/things/aquarium.jpg,aquarium,6.0,4.785633
0,data/input/things/aquarium.jpg,aquarium,7.0,4.874066
0,data/input/things/aquarium.jpg,aquarium,8.0,4.8307323
0,data/input/things/artichoke.jpg,artichoke,1.0,3.215262
0,data/input/things/artichoke.jpg,artichoke,2.0,2.78034
0,data/input/things/artichoke.jpg,artichoke,3.0,2.5187767
0,data/input/things/artichoke.jpg,artichoke,4.0,3.1155164
0,data/input/things/artichoke.jpg,artichoke,5.0,3.1580262
0,data/input/things/artichoke.jpg,artichoke,6.0,3.0365644
0,data/input/things/artichoke.jpg,artichoke,7.0,3.1769714
0,data/input/things/artichoke.jpg,artichoke,8.0,4.072228
0,data/input/things/backgammon.jpg,backgammon,1.0,1.156071
0,data/input/things/backgammon.jpg,backgammon,2.0,2.526566
0,data/input/things/backgammon.jpg,backgammon,3.0,3.9373686
0,data/input/things/backgammon.jpg,backgammon,4.0,4.4344673
0,data/input/things/backgammon.jpg,backgammon,5.0,4.648734
0,data/input/things/backgammon.jpg,backgammon,6.0,4.6464005
0,data/input/things/backgammon.jpg,backgammon,7.0,4.89564
0,data/input/things/backgammon.jpg,backgammon,8.0,4.902066
0,data/input/things/badge.jpg,badge,1.0,3.5954118
0,data/input/things/badge.jpg,badge,2.0,3.8895793
0,data/input/things/badge.jpg,badge,3.0,4.3463025
0,data/input/things/badge.jpg,badge,4.0,4.7111835
0,data/input/things/badge.jpg,badge,5.0,4.843235
0,data/input/things/badge.jpg,badge,6.0,4.945415
0,data/input/things/badge.jpg,badge,7.0,4.925556
0,data/input/things/badge.jpg,badge,8.0,4.92618
0,data/input/things/baklava.jpg,baklava,1.0,2.4277372
0,data/input/things/baklava.jpg,baklava,2.0,2.4673433
0,data/input/things/baklava.jpg,baklava,3.0,2.6417332
0,data/input/things/baklava.jpg,baklava,4.0,3.592945
0,data/input/things/baklava.jpg,baklava,5.0,4.463112
0,data/input/things/baklava.jpg,baklava,6.0,4.637533
0,data/input/things/baklava.jpg,baklava,7.0,4.7718105
0,data/input/things/baklava.jpg,baklava,8.0,4.7951603
0,data/input/things/banana_peel.jpg,banana_peel,1.0,0.30888426
0,data/input/things/banana_peel.jpg,banana_peel,2.0,0.33754957
0,data/input/things/banana_peel.jpg,banana_peel,3.0,0.2394374
0,data/input/things/banana_peel.jpg,banana_peel,4.0,0.48512548
0,data/input/things/banana_peel.jpg,banana_peel,5.0,1.3340364
0,data/input/things/banana_peel.jpg,banana_peel,6.0,3.7915587
0,data/input/things/banana_peel.jpg,banana_peel,7.0,4.716552
0,data/input/things/banana_peel.jpg,banana_peel,8.0,4.635166
0,data/input/things/bank.jpg,bank,1.0,2.8192177
0,data/input/things/bank.jpg,bank,2.0,2.5771208
0,data/input/things/bank.jpg,bank,3.0,2.4491425
0,data/input/things/bank.jpg,bank,4.0,2.9170375
0,data/input/things/bank.jpg,bank,5.0,3.7209458
0,data/input/things/bank.jpg,bank,6.0,4.3764153
0,data/input/things/bank.jpg,bank,7.0,4.701276
0,data/input/things/bank.jpg,bank,8.0,4.611514
0,data/input/things/basil.jpg,basil,1.0,5.1945143
0,data/input/things/basil.jpg,basil,2.0,5.188774
0,data/input/things/basil.jpg,basil,3.0,5.204924
0,data/input/things/basil.jpg,basil,4.0,5.172078
0,data/input/things/basil.jpg,basil,5.0,5.1822944
0,data/input/things/basil.jpg,basil,6.0,5.1692543
0,data/input/things/basil.jpg,basil,7.0,5.1590796
0,data/input/things/basil.jpg,basil,8.0,5.1599827
0,data/input/things/bathrobe.jpg,bathrobe,1.0,2.1133366
0,data/input/things/bathrobe.jpg,bathrobe,2.0,3.0263836
0,data/input/things/bathrobe.jpg,bathrobe,3.0,4.3210897
0,data/input/things/bathrobe.jpg,bathrobe,4.0,4.506067
0,data/input/things/bathrobe.jpg,bathrobe,5.0,4.5515547
0,data/input/things/bathrobe.jpg,bathrobe,6.0,4.6388063
0,data/input/things/bathrobe.jpg,bathrobe,7.0,4.8152914
0,data/input/things/bathrobe.jpg,bathrobe,8.0,4.938224
0,data/input/things/baton4.jpg,baton4,1.0,3.8168762
0,data/input/things/baton4.jpg,baton4,2.0,4.237961
0,data/input/things/baton4.jpg,baton4,3.0,4.361633
0,data/input/things/baton4.jpg,baton4,4.0,4.500197
0,data/input/things/baton4.jpg,baton4,5.0,4.689191
0,data/input/things/baton4.jpg,baton4,6.0,4.843473
0,data/input/things/baton4.jpg,baton4,7.0,4.8223314
0,data/input/things/baton4.jpg,baton4,8.0,4.8720074
0,data/input/things/battery.jpg,battery,1.0,3.873511
0,data/input/things/battery.jpg,battery,2.0,4.1587563
0,data/input/things/battery.jpg,battery,3.0,4.3482018
0,data/input/things/battery.jpg,battery,4.0,4.496113
0,data/input/things/battery.jpg,battery,5.0,4.659564
0,data/input/things/battery.jpg,battery,6.0,4.826106
0,data/input/things/battery.jpg,battery,7.0,4.9587975
0,data/input/things/battery.jpg,battery,8.0,5.014839
0,data/input/things/bedpan.jpg,bedpan,1.0,3.1932802
0,data/input/things/bedpan.jpg,bedpan,2.0,3.1015642
0,data/input/things/bedpan.jpg,bedpan,3.0,3.1548
0,data/input/things/bedpan.jpg,bedpan,4.0,3.278262
0,data/input/things/bedpan.jpg,bedpan,5.0,3.7696729
0,data/input/things/bedpan.jpg,bedpan,6.0,4.1296043
0,data/input/things/bedpan.jpg,bedpan,7.0,4.295328
0,data/input/things/bedpan.jpg,bedpan,8.0,4.367687
0,data/input/things/belt.jpg,belt,1.0,2.2233942
0,data/input/things/belt.jpg,belt,2.0,2.5988352
0,data/input/things/belt.jpg,belt,3.0,3.1876233
0,data/input/things/belt.jpg,belt,4.0,3.6451883
0,data/input/things/belt.jpg,belt,5.0,4.1474705
0,data/input/things/belt.jpg,belt,6.0,4.4534388
0,data/input/things/belt.jpg,belt,7.0,4.6516323
0,data/input/things/belt.jpg,belt,8.0,4.648096
0,data/input/things/belt_buckle.jpg,belt_buckle,1.0,2.4191623
0,data/input/things/belt_buckle.jpg,belt_buckle,2.0,3.5558987
0,data/input/things/belt_buckle.jpg,belt_buckle,3.0,3.63621
0,data/input/things/belt_buckle.jpg,belt_buckle,4.0,4.4331727
0,data/input/things/belt_buckle.jpg,belt_buckle,5.0,4.8126807
0,data/input/things/belt_buckle.jpg,belt_buckle,6.0,4.7688518
0,data/input/things/belt_buckle.jpg,belt_buckle,7.0,4.7654753
0,data/input/things/belt_buckle.jpg,belt_buckle,8.0,4.840873
0,data/input/things/binoculars.jpg,binoculars,1.0,2.701188
0,data/input/things/binoculars.jpg,binoculars,2.0,2.8126862
0,data/input/things/binoculars.jpg,binoculars,3.0,3.018771
0,data/input/things/binoculars.jpg,binoculars,4.0,4.3618517
0,data/input/things/binoculars.jpg,binoculars,5.0,4.7533875
0,data/input/things/binoculars.jpg,binoculars,6.0,4.798047
0,data/input/things/binoculars.jpg,binoculars,7.0,5.0310416
0,data/input/things/binoculars.jpg,binoculars,8.0,5.0174274
0,data/input/things/birdbath.jpg,birdbath,1.0,1.1401311
0,data/input/things/birdbath.jpg,birdbath,2.0,2.19732
0,data/input/things/birdbath.jpg,birdbath,3.0,3.2129226
0,data/input/things/birdbath.jpg,birdbath,4.0,3.3687913
0,data/input/things/birdbath.jpg,birdbath,5.0,4.648568
0,data/input/things/birdbath.jpg,birdbath,6.0,4.789403
0,data/input/things/birdbath.jpg,birdbath,7.0,4.754386
0,data/input/things/birdbath.jpg,birdbath,8.0,4.7471123
0,data/input/things/blinder.jpg,blinder,1.0,4.6738286
0,data/input/things/blinder.jpg,blinder,2.0,4.8489165
0,data/input/things/blinder.jpg,blinder,3.0,4.981281
0,data/input/things/blinder.jpg,blinder,4.0,5.0283585
0,data/input/things/blinder.jpg,blinder,5.0,5.1263833
0,data/input/things/blinder.jpg,blinder,6.0,5.217314
0,data/input/things/blinder.jpg,blinder,7.0,5.215409
0,data/input/things/blinder.jpg,blinder,8.0,5.178973
0,data/input/things/blower.jpg,blower,1.0,3.8271704
0,data/input/things/blower.jpg,blower,2.0,3.8946733
0,data/input/things/blower.jpg,blower,3.0,3.8282404
0,data/input/things/blower.jpg,blower,4.0,4.0744753
0,data/input/things/blower.jpg,blower,5.0,4.1932487
0,data/input/things/blower.jpg,blower,6.0,4.302853
0,data/input/things/blower.jpg,blower,7.0,4.2449737
0,data/input/things/blower.jpg,blower,8.0,4.1692305
0,data/input/things/board.jpg,board,1.0,4.0511703
0,data/input/things/board.jpg,board,2.0,4.344019
0,data/input/things/board.jpg,board,3.0,4.4410605
0,data/input/things/board.jpg,board,4.0,4.3974853
0,data/input/things/board.jpg,board,5.0,4.316635
0,data/input/things/board.jpg,board,6.0,4.068034
0,data/input/things/board.jpg,board,7.0,3.634358
0,data/input/things/board.jpg,board,8.0,3.7936022
0,data/input/things/bonnet.jpg,bonnet,1.0,1.5057392
0,data/input/things/bonnet.jpg,bonnet,2.0,2.2921863
0,data/input/things/bonnet.jpg,bonnet,3.0,2.605155
0,data/input/things/bonnet.jpg,bonnet,4.0,2.7305818
0,data/input/things/bonnet.jpg,bonnet,5.0,3.6300037
0,data/input/things/bonnet.jpg,bonnet,6.0,5.032544
0,data/input/things/bonnet.jpg,bonnet,7.0,5.147011
0,data/input/things/bonnet.jpg,bonnet,8.0,5.1979294
0,data/input/things/bookshelf.jpg,bookshelf,1.0,1.8514047
0,data/input/things/bookshelf.jpg,bookshelf,2.0,2.1415117
0,data/input/things/bookshelf.jpg,bookshelf,3.0,3.1904268
0,data/input/things/bookshelf.jpg,bookshelf,4.0,3.757439
0,data/input/things/bookshelf.jpg,bookshelf,5.0,4.203292
0,data/input/things/bookshelf.jpg,bookshelf,6.0,4.4470687
0,data/input/things/bookshelf.jpg,bookshelf,7.0,4.261085
0,data/input/things/bookshelf.jpg,bookshelf,8.0,4.551188
0,data/input/things/bow1.jpg,bow1,1.0,4.4102154
0,data/input/things/bow1.jpg,bow1,2.0,4.7643824
0,data/input/things/bow1.jpg,bow1,3.0,4.924512
0,data/input/things/bow1.jpg,bow1,4.0,4.878704
0,data/input/things/bow1.jpg,bow1,5.0,4.8902783
0,data/input/things/bow1.jpg,bow1,6.0,4.830842
0,data/input/things/bow1.jpg,bow1,7.0,4.8130617
0,data/input/things/bow1.jpg,bow1,8.0,4.820158
0,data/input/things/bow3.jpg,bow3,1.0,4.6304984
0,data/input/things/bow3.jpg,bow3,2.0,4.818128
0,data/input/things/bow3.jpg,bow3,3.0,4.9374676
0,data/input/things/bow3.jpg,bow3,4.0,5.017425
0,data/input/things/bow3.jpg,bow3,5.0,4.9964943
0,data/input/things/bow3.jpg,bow3,6.0,4.9627333
0,data/input/things/bow3.jpg,bow3,7.0,4.9275866
0,data/input/things/bow3.jpg,bow3,8.0,4.8427186
0,data/input/things/bowling_ball.jpg,bowling_ball,1.0,0.2742296
0,data/input/things/bowling_ball.jpg,bowling_ball,2.0,0.55370295
0,data/input/things/bowling_ball.jpg,bowling_ball,3.0,0.7902811
0,data/input/things/bowling_ball.jpg,bowling_ball,4.0,1.0186933
0,data/input/things/bowling_ball.jpg,bowling_ball,5.0,1.1727446
0,data/input/things/bowling_ball.jpg,bowling_ball,6.0,1.189287
0,data/input/things/bowling_ball.jpg,bowling_ball,7.0,1.6301239
0,data/input/things/bowling_ball.jpg,bowling_ball,8.0,2.258057
0,data/input/things/brace.jpg,brace,1.0,4.0407004
0,data/input/things/brace.jpg,brace,2.0,4.2092237
0,data/input/things/brace.jpg,brace,3.0,4.260479
0,data/input/things/brace.jpg,brace,4.0,3.5829937
0,data/input/things/brace.jpg,brace,5.0,3.8378267
0,data/input/things/brace.jpg,brace,6.0,4.8623824
0,data/input/things/brace.jpg,brace,7.0,4.9373703
0,data/input/things/brace.jpg,brace,8.0,4.942058
0,data/input/things/bracelet1.jpg,bracelet1,1.0,3.6395965
0,data/input/things/bracelet1.jpg,bracelet1,2.0,3.2093782
0,data/input/things/bracelet1.jpg,bracelet1,3.0,3.7930355
0,data/input/things/bracelet1.jpg,bracelet1,4.0,3.7218366
0,data/input/things/bracelet1.jpg,bracelet1,5.0,3.8211026
0,data/input/things/bracelet1.jpg,bracelet1,6.0,4.3808746
0,data/input/things/bracelet1.jpg,bracelet1,7.0,4.779916
0,data/input/things/bracelet1.jpg,bracelet1,8.0,4.8167896
0,data/input/things/braid.jpg,braid,1.0,1.9149
0,data/input/things/braid.jpg,braid,2.0,1.6430942
0,data/input/things/braid.jpg,braid,3.0,1.6204817
0,data/input/things/braid.jpg,braid,4.0,1.8934009
0,data/input/things/braid.jpg,braid,5.0,3.0093489
0,data/input/things/braid.jpg,braid,6.0,3.781617
0,data/input/things/braid.jpg,braid,7.0,4.4908633
0,data/input/things/braid.jpg,braid,8.0,4.7759886
0,data/input/things/branch.jpg,branch,1.0,2.624939
0,data/input/things/branch.jpg,branch,2.0,3.2423134
0,data/input/things/branch.jpg,branch,3.0,4.0166054
0,data/input/things/branch.jpg,branch,4.0,4.2299347
0,data/input/things/branch.jpg,branch,5.0,4.507759
0,data/input/things/branch.jpg,branch,6.0,4.496955
0,data/input/things/branch.jpg,branch,7.0,4.1410303
0,data/input/things/branch.jpg,branch,8.0,4.341406
0,data/input/things/bread.jpg,bread,1.0,2.095459
0,data/input/things/bread.jpg,bread,2.0,2.4362364
0,data/input/things/bread.jpg,bread,3.0,2.9213543
0,data/input/things/bread.jpg,bread,4.0,2.5647604
0,data/input/things/bread.jpg,bread,5.0,3.230176
0,data/input/things/bread.jpg,bread,6.0,4.3369465
0,data/input/things/bread.jpg,bread,7.0,4.772414
0,data/input/things/bread.jpg,bread,8.0,4.914381
0,data/input/things/breadbox.jpg,breadbox,1.0,4.050188
0,data/input/things/breadbox.jpg,breadbox,2.0,4.6294117
0,data/input/things/breadbox.jpg,breadbox,3.0,4.756054
0,data/input/things/breadbox.jpg,breadbox,4.0,4.6939163
0,data/input/things/breadbox.jpg,breadbox,5.0,4.674184
0,data/input/things/breadbox.jpg,breadbox,6.0,4.6919003
0,data/input/things/breadbox.jpg,breadbox,7.0,4.6895843
0,data/input/things/breadbox.jpg,breadbox,8.0,4.552264
0,data/input/things/briefcase.jpg,briefcase,1.0,1.9008387
0,data/input/things/briefcase.jpg,briefcase,2.0,2.1883163
0,data/input/things/briefcase.jpg,briefcase,3.0,2.4770136
0,data/input/things/briefcase.jpg,briefcase,4.0,2.7531185
0,data/input/things/briefcase.jpg,briefcase,5.0,3.6632738
0,data/input/things/briefcase.jpg,briefcase,6.0,4.8156915
0,data/input/things/briefcase.jpg,briefcase,7.0,5.1160817
0,data/input/things/briefcase.jpg,briefcase,8.0,5.2007422
0,data/input/things/broom.jpg,broom,1.0,4.0281954
0,data/input/things/broom.jpg,broom,2.0,4.007703
0,data/input/things/broom.jpg,broom,3.0,3.267721
0,data/input/things/broom.jpg,broom,4.0,3.906512
0,data/input/things/broom.jpg,broom,5.0,5.030442
0,data/input/things/broom.jpg,broom,6.0,5.064489
0,data/input/things/broom.jpg,broom,7.0,4.9470053
0,data/input/things/broom.jpg,broom,8.0,4.8210034
0,data/input/things/bumper.jpg,bumper,1.0,3.0953946
0,data/input/things/bumper.jpg,bumper,2.0,3.2026734
0,data/input/things/bumper.jpg,bumper,3.0,3.730633
0,data/input/things/bumper.jpg,bumper,4.0,4.106329
0,data/input/things/bumper.jpg,bumper,5.0,4.3164377
0,data/input/things/bumper.jpg,bumper,6.0,4.4696035
0,data/input/things/bumper.jpg,bumper,7.0,4.6315165
0,data/input/things/bumper.jpg,bumper,8.0,4.693537
0,data/input/things/cabinet.jpg,cabinet,1.0,2.8153398
0,data/input/things/cabinet.jpg,cabinet,2.0,3.9034562
0,data/input/things/cabinet.jpg,cabinet,3.0,4.142289
0,data/input/things/cabinet.jpg,cabinet,4.0,4.1863103
0,data/input/things/cabinet.jpg,cabinet,5.0,3.7640724
0,data/input/things/cabinet.jpg,cabinet,6.0,3.9213414
0,data/input/things/cabinet.jpg,cabinet,7.0,4.5986853
0,data/input/things/cabinet.jpg,cabinet,8.0,4.805975
0,data/input/things/camera2.jpg,camera2,1.0,3.6404853
0,data/input/things/camera2.jpg,camera2,2.0,3.20391
0,data/input/things/camera2.jpg,camera2,3.0,3.3479896
0,data/input/things/camera2.jpg,camera2,4.0,3.9549935
0,data/input/things/camera2.jpg,camera2,5.0,4.583654
0,data/input/things/camera2.jpg,camera2,6.0,4.6889577
0,data/input/things/camera2.jpg,camera2,7.0,4.798795
0,data/input/things/camera2.jpg,camera2,8.0,4.758694
0,data/input/things/cane.jpg,cane,1.0,4.0237174
0,data/input/things/cane.jpg,cane,2.0,4.15427
0,data/input/things/cane.jpg,cane,3.0,4.201294
0,data/input/things/cane.jpg,cane,4.0,4.259202
0,data/input/things/cane.jpg,cane,5.0,4.5147705
0,data/input/things/cane.jpg,cane,6.0,4.9178963
0,data/input/things/cane.jpg,cane,7.0,5.00074
